Year,Category,Date,Book Title,Author,source
1931,Fiction,October 12,The Ten Commandments,Warwick Deeping,scraper_wikipedia
1931,Fiction,November 16,Maid in Waiting,John Galsworthy,scraper_wikipedia
1931,Fiction,November 30,Maid in Waiting,John Galsworthy,scraper_wikipedia
1931,Nonfiction,October 12,Ellen Terry and Bernard Shaw: A Correspondence,Ellen TerryandBernard Shaw,scraper_wikipedia
1931,Nonfiction,November 16,Ellen Terry and Bernard Shaw: A Correspondence,Ellen TerryandBernard Shaw,scraper_wikipedia
1931,Nonfiction,November 30,Washington Merry-Go-Round,Anonymous. (Drew PearsonandRobert S. Allen.),scraper_wikipedia
1931,Nonfiction,December 7,Bernard Shaw,Frank Harris,scraper_wikipedia
1931,Nonfiction,December 14,The Epic of America,James Truslow Adams,scraper_wikipedia
1931,Nonfiction,December 21,Mourning Becomes Electra,Eugene O'Neill,scraper_wikipedia
1931,Nonfiction,December 28,The Epic of America,James Truslow Adams,scraper_wikipedia
1932,Fiction,January 4,Maid in Waiting,John Galsworthy,scraper_wikipedia
1932,Fiction,January 11,The Harbourmaster,William McFee,scraper_wikipedia
1932,Fiction,January 25,Mr. and Mrs. Pennington,Francis Brett Young,scraper_wikipedia
1932,Fiction,February 8,The End of Desire,Robert Herrick,scraper_wikipedia
1932,Fiction,February 15,Mary's Neck,Booth Tarkington,scraper_wikipedia
1932,Fiction,April 4,Magnolia Street,Louis Golding,scraper_wikipedia
1932,Fiction,May 2,Bright Skin,Julia Peterkin,scraper_wikipedia
1932,Fiction,May 9,A Modern Hero,Louis Bromfield,scraper_wikipedia
1932,Fiction,May 16,The Good Earth,Pearl S. Buck,scraper_wikipedia
1932,Fiction,June 6,District Nurse,Faith Baldwin,scraper_wikipedia
1932,Fiction,June 13,The Fountain,Charles Langbridge Morgan,scraper_wikipedia
1932,Fiction,August 15,Faraway,J. B. Priestley,scraper_wikipedia
1932,Fiction,August 22,Lark Ascending,Mazo De La Roche,scraper_wikipedia
1932,Fiction,August 29,The Fountain,Charles Langbridge Morgan,scraper_wikipedia
1932,Fiction,September 5,A New York Tempest,Manuel Komroff,scraper_wikipedia
1932,Fiction,September 12,The Sheltered Life,Ellen Glasgow,scraper_wikipedia
1932,Fiction,October 3,Sons,Pearl S. Buck,scraper_wikipedia
1932,Fiction,November 14,Invitation to the Waltz,Rosamond Lehmann,scraper_wikipedia
1932,Fiction,November 21,Flowering Wilderness,John Galsworthy,scraper_wikipedia
1932,Nonfiction,January 4,The Epic of America,James Truslow Adams,scraper_wikipedia
1932,Nonfiction,February 1,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,February 15,A Fortune to Share,Vash Young,scraper_wikipedia
1932,Nonfiction,February 22,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,February 29,The Story of My Life,Clarence Darrow,scraper_wikipedia
1932,Nonfiction,March 14,Once A Grand Duke,Grand Duke Alexander Mikhailovich of Russia,scraper_wikipedia
1932,Nonfiction,March 21,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,April 4,The Epic of America,James Truslow Adams,scraper_wikipedia
1932,Nonfiction,April 11,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,April 18,Recovery,"Arthur Salter, 1st Baron Salter",scraper_wikipedia
1932,Nonfiction,April 25,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,May 2,Recovery,"Arthur Salter, 1st Baron Salter",scraper_wikipedia
1932,Nonfiction,May 16,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,May 30,"20,000 Years in Sing Sing",Lewis E. Lawes,scraper_wikipedia
1932,Nonfiction,July 4,Only Yesterday,Frederick Lewis Allen,scraper_wikipedia
1932,Nonfiction,July 11,A New Way to Better Golf,Alex J. Morrison,scraper_wikipedia
1932,Nonfiction,July 18,"20,000 Years in Sing Sing",Lewis E. Lawes,scraper_wikipedia
1932,Nonfiction,August 8,What We Live By,Ernest Dimnet,scraper_wikipedia
1932,Nonfiction,August 22,"20,000 Years in Sing Sing",Lewis E. Lawes,scraper_wikipedia
1932,Nonfiction,August 29,What We Live By,Ernest Dimnet,scraper_wikipedia
1932,Nonfiction,September 5,A Princess in Exile,Grand Duchess Maria Pavlovna of Russia (1890–1958),scraper_wikipedia
1932,Nonfiction,September 12,More Merry-Go-Round,Anonymous (Drew PearsonandRobert S. Allen),scraper_wikipedia
1932,Nonfiction,October 10,Death in the Afternoon,Ernest Hemingway,scraper_wikipedia
1932,Nonfiction,October 31,Van Loon's Geography,Hendrik Willem van Loon,scraper_wikipedia
1932,Nonfiction,November 7,The March of Democracy,James Truslow Adams,scraper_wikipedia
1932,Nonfiction,November 28,Van Loon's Geography,Hendrik Willem van Loon,scraper_wikipedia
1933,Fiction,January 2,Flowering Wilderness,John Galsworthy,scraper_wikipedia
1933,Fiction,January 16,The Last Adam,James Gould Cozzens,scraper_wikipedia
1933,Fiction,January 30,Ann Vickers,Sinclair Lewis,scraper_wikipedia
1933,Fiction,April 17,The Werewolf of Paris,Guy Endore,scraper_wikipedia
1933,Fiction,April 24,Rain in the Doorway,Thorne Smith,scraper_wikipedia
1933,Fiction,May 1,The Werewolf of Paris,Guy Endore,scraper_wikipedia
1933,Fiction,May 8,As the Earth Turns,Gladys Hasty Carroll,scraper_wikipedia
1933,Fiction,May 22,The Store,T. S. Stribling,scraper_wikipedia
1933,Fiction,May 29,As the Earth Turns,Gladys Hasty Carroll,scraper_wikipedia
1933,Fiction,June 12,"Little Man, What Now?",Hans Fallada,scraper_wikipedia
1933,Fiction,July 3,Anthony Adverse,Hervey Allen,scraper_wikipedia
1934,Fiction,January 1,Anthony Adverse,Hervey Allen,scraper_wikipedia
1934,Fiction,January 15,The Thin Man,Dashiell Hammett,scraper_wikipedia
1934,Fiction,February 5,Work of Art,Sinclair Lewis,scraper_wikipedia
1934,Fiction,March 26,Anthony Adverse,Hervey Allen,scraper_wikipedia
1934,Fiction,April 2,The Oppermanns,Lion Feuchtwanger,scraper_wikipedia
1934,Fiction,April 16,Anthony Adverse,Hervey Allen,scraper_wikipedia
1934,Fiction,April 30,Seven Gothic Tales,Isak Dinesen,scraper_wikipedia
1934,Fiction,May 7,Tender is the Night,F. Scott Fitzgerald,scraper_wikipedia
1934,Fiction,May 14,Anthony Adverse,Hervey Allen,scraper_wikipedia
1934,Fiction,May 21,Lamb in His Bosom,Caroline Miller,scraper_wikipedia
1934,Fiction,May 28,Five Silver Daughters,Louis Golding,scraper_wikipedia
1934,Fiction,June 4,Lamb in His Bosom,Caroline Miller,scraper_wikipedia
1934,Fiction,July 23,"I, Claudius",Robert Graves,scraper_wikipedia
1934,Fiction,July 30,Anthony Adverse,Hervey Allen,scraper_wikipedia
1934,Fiction,August 6,So Red the Rose,Stark Young,scraper_wikipedia
1934,Fiction,December 3,Lost Horizon,James Hilton,scraper_wikipedia
1934,Fiction,December 10,The Forty Days of Musa Dagh,Franz Werfel,scraper_wikipedia
1935,Fiction,January 7,The Forty Days of Musa Dagh,Franz Werfel,scraper_wikipedia
1935,Fiction,January 21,Heaven's My Destination,Thornton Wilder,scraper_wikipedia
1935,Fiction,March 4,Come and Get It,Edna Ferber,scraper_wikipedia
1935,Fiction,March 18,Of Time and the River,Thomas Wolfe,scraper_wikipedia
1935,Fiction,April 1,Come and Get It,Edna Ferber,scraper_wikipedia
1935,Fiction,April 8,Of Time and the River,Thomas Wolfe,scraper_wikipedia
1935,Fiction,April 29,Green Light,Lloyd C. Douglas,scraper_wikipedia
1935,Fiction,May 6,Of Time and the River,Thomas Wolfe,scraper_wikipedia
1935,Fiction,May 20,Now in November,Josephine Johnson,scraper_wikipedia
1935,Fiction,June 10,Young Renny,Mazo De La Roche,scraper_wikipedia
1935,Fiction,June 17,Paths of Glory,Humphrey Cobb,scraper_wikipedia
1935,Fiction,July 29,Green Light,Lloyd C. Douglas,scraper_wikipedia
1935,Fiction,August 12,Lucy Gayheart,Willa Cather,scraper_wikipedia
1935,Fiction,September 9,Vein of Iron,Ellen Glasgow,scraper_wikipedia
1935,Fiction,September 23,Europa,Robert Briffault,scraper_wikipedia
1935,Fiction,November 4,It Can't Happen Here,Sinclair Lewis,scraper_wikipedia
1935,Fiction,November 11,Europa,Robert Briffault,scraper_wikipedia
1935,Fiction,December 2,It Can't Happen Here,Sinclair Lewis,scraper_wikipedia
1936,Fiction,January 6,It Can't Happen Here,Sinclair Lewis,scraper_wikipedia
1936,Fiction,January 20,If I Have Four Apples,Josephine Lawrence,scraper_wikipedia
1936,Fiction,February 10,The Last Puritan,George Santayana,scraper_wikipedia
1936,Fiction,April 27,Sparkenbroke,Charles Langbridge Morgan,scraper_wikipedia
1936,Fiction,June 1,The Weather in the Streets,Rosamond Lehmann,scraper_wikipedia
1936,Fiction,June 8,The Doctor,Mary Roberts Rinehart,scraper_wikipedia
1936,Fiction,July 6,Sanfelice,Vincent Sheean,scraper_wikipedia
1936,Fiction,July 13,Gone with the Wind,Margaret Mitchell,scraper_wikipedia
1937,Fiction,January 4,Gone with the Wind,Margaret Mitchell,scraper_wikipedia
1937,Fiction,February 22,Drums Along the Mohawk,Walter D. Edmonds,scraper_wikipedia
1937,Fiction,March 8,Gone with the Wind,Margaret Mitchell,scraper_wikipedia
1937,Fiction,March 15,Drums Along the Mohawk,Walter D. Edmonds,scraper_wikipedia
1937,Fiction,March 22,Theatre,Somerset Maugham,scraper_wikipedia
1937,Fiction,April 5,Drums Along the Mohawk,Walter D. Edmonds,scraper_wikipedia
1937,Fiction,April 12,Theatre,Somerset Maugham,scraper_wikipedia
1937,Fiction,May 3,The Years,Virginia Woolf,scraper_wikipedia
1937,Fiction,May 17,The Outward Room,Millen Brand,scraper_wikipedia
1937,Fiction,May 31,The Years,Virginia Woolf,scraper_wikipedia
1937,Fiction,June 7,The Outward Room,Millen Brand,scraper_wikipedia
1937,Fiction,July 12,The Years,Virginia Woolf,scraper_wikipedia
1937,Fiction,July 19,Northwest Passage,Kenneth Roberts,scraper_wikipedia
1937,Fiction,October 4,The Citadel,A. J. Cronin,scraper_wikipedia
1937,Fiction,October 11,Northwest Passage,Kenneth Roberts,scraper_wikipedia
1937,Fiction,November 1,The Citadel,A. J. Cronin,scraper_wikipedia
1937,Fiction,November 22,Northwest Passage,Kenneth Roberts,scraper_wikipedia
1937,Fiction,November 29,The Citadel,A. J. Cronin,scraper_wikipedia
1938,Fiction,January 3,The Citadel,A. J. Cronin,scraper_wikipedia
1938,Fiction,February 7,The Prodigal Parents,Sinclair Lewis,scraper_wikipedia
1938,Fiction,February 14,The Citadel,A. J. Cronin,scraper_wikipedia
1938,Fiction,March 21,Action at Aquila,Hervey Allen,scraper_wikipedia
1938,Fiction,March 28,The Citadel,A. J. Cronin,scraper_wikipedia
1938,Fiction,April 4,Action at Aquila,Hervey Allen,scraper_wikipedia
1938,Fiction,April 11,The Citadel,A. J. Cronin,scraper_wikipedia
1938,Fiction,May 16,The Yearling,Marjorie Kinnan Rawlings,scraper_wikipedia
1938,Fiction,July 11,"My Son, My Son!",Howard Spring,scraper_wikipedia
1938,Fiction,August 29,The Yearling,Marjorie Kinnan Rawlings,scraper_wikipedia
1938,Fiction,September 26,"My Son, My Son!",Howard Spring,scraper_wikipedia
1938,Fiction,October 24,Rebecca,Daphne du Maurier,scraper_wikipedia
1938,Fiction,November 28,All This and Heaven Too,Rachel Field,scraper_wikipedia
1938,Fiction,December 5,Rebecca,Daphne du Maurier,scraper_wikipedia
1938,Fiction,December 26,All This and Heaven Too,Rachel Field,scraper_wikipedia
1939,Fiction,January 2,All This and Heaven Too,Rachel Field,scraper_wikipedia
1939,Fiction,January 9,Rebecca,Daphne du Maurier,scraper_wikipedia
1939,Fiction,January 16,All This and Heaven Too,Rachel Field,scraper_wikipedia
1939,Fiction,April 3,Wickford Point,John P. Marquand,scraper_wikipedia
1939,Fiction,April 10,All This and Heaven Too,Rachel Field,scraper_wikipedia
1939,Fiction,April 24,Wickford Point,John P. Marquand,scraper_wikipedia
1939,Fiction,May 1,The Grapes of Wrath,John Steinbeck,scraper_wikipedia
1939,Fiction,October 9,Escape,Ethel Vance,scraper_wikipedia
1939,Fiction,October 16,The Grapes of Wrath,John Steinbeck,scraper_wikipedia
1939,Fiction,October 23,Escape,Ethel Vance,scraper_wikipedia
1939,Fiction,November 20,Kitty Foyle,Christopher Morley,scraper_wikipedia
1939,Fiction,December 18,The Nazarene,Sholem Asch,scraper_wikipedia
1939,Fiction,December 25,Moment in Peking,Lin Yutang,scraper_wikipedia
1940,Fiction,January 1,The Nazarene,Sholem Asch,scraper_wikipedia
1940,Fiction,February 5,Kitty Foyle,Christopher Morley,scraper_wikipedia
1940,Fiction,February 12,The Nazarene,Sholem Asch,scraper_wikipedia
1940,Fiction,February 19,Kitty Foyle,Christopher Morley,scraper_wikipedia
1940,Fiction,March 4,How Green Was My Valley,Richard Llewellyn,scraper_wikipedia
1940,Fiction,March 18,Native Son,Richard Wright,scraper_wikipedia
1940,Fiction,March 25,How Green Was My Valley,Richard Llewellyn,scraper_wikipedia
1940,Fiction,June 10,Stars on the Sea,F. Van Wyck Mason,scraper_wikipedia
1940,Fiction,August 19,Mrs. Miniver,Jan Struther,scraper_wikipedia
1940,Fiction,September 9,The Beloved Returns,Thomas Mann,scraper_wikipedia
1940,Fiction,September 23,Mrs. Miniver,Jan Struther,scraper_wikipedia
1940,Fiction,September 30,You Can't Go Home Again,Thomas Wolfe,scraper_wikipedia
1940,Fiction,October 14,Mrs. Miniver,Jan Struther,scraper_wikipedia
1940,Fiction,October 28,For Whom the Bell Tolls,Ernest Hemingway,scraper_wikipedia
1940,Fiction,December 2,Oliver Wiswell,Kenneth Roberts,scraper_wikipedia
1941,Fiction,January 6,Oliver Wiswell,Kenneth Roberts,scraper_wikipedia
1941,Fiction,February 17,Random Harvest,James Hilton,scraper_wikipedia
1941,Fiction,April 28,This Above All,Eric Knight,scraper_wikipedia
1941,Fiction,August 4,The Keys of the Kingdom,A. J. Cronin,scraper_wikipedia
1941,Fiction,November 17,Saratoga Trunk,Edna Ferber,scraper_wikipedia
1941,Fiction,December 15,Windswept,Mary Ellen Chase,scraper_wikipedia
1942,Fiction,January 4,The Keys of the Kingdom,A. J. Cronin,scraper_wikipedia
1942,Fiction,January 11,Windswept,Mary Ellen Chase,scraper_wikipedia
1942,Fiction,February 8,Dragon Seed,Pearl S. Buck,scraper_wikipedia
1942,Fiction,February 15,Frenchman's Creek,Daphne du Maurier,scraper_wikipedia
1942,Fiction,February 22,Dragon Seed,Pearl S. Buck,scraper_wikipedia
1942,Fiction,March 22,The Moon Is Down,John Steinbeck,scraper_wikipedia
1942,Fiction,June 14,And Now Tomorrow,Rachel Field,scraper_wikipedia
1942,Fiction,July 19,The Song of Bernadette,Franz Werfel,scraper_wikipedia
